### Průběžné
|   N   | CPU [s]  | Step 0 [s] | Step 1 [s] | Step 2 [s] |
|:-----:|----------|------------|------------|------------|
|  4096 | 0.492139 | 0.319928   | 0.195212   | 0.182504   |
|  8192 | 1.471328 | 0.637738   | 0.391167   | 0.364442   |
| 12288 | 2.478942 | 0.955836   | 0.585137   | 0.546407   |
| 16384 | 3.386801 | 1.273810   | 0.777620   | 0.728325   |
| 20480 | 5.059240 | 1.591367   | 0.974317   | 0.910280   |
| 24576 | 7.112179 | 1.910142   | 1.166012   | 1.092191   |
| 28672 | 9.892856 | 2.228769   | 1.359236   | 1.274128   |
| 32768 | 12.59829 | 2.547795   | 1.560751   | 1.455803   |
| 36864 | 15.54297 | 2.867687   | 1.760385   | 1.637964   |
| 40960 | 19.36099 | 3.186936   | 1.952142   | 1.819870   |
| 45056 | 23.48723 | 3.507320   | 2.144038   | 2.002504   |
| 49152 | 27.69359 | 3.827279   | 2.336552   | 2.183770   |
| 53248 | 32.63063 | 4.147363   | 2.530492   | 2.365751   |
| 57344 | 37.43660 | 7.060634   | 4.414751   | 4.068941   |
| 61440 | 42.85863 | 7.581609   | 4.746868   | 4.359887   |
| 65536 | 49.46104 | 8.099837   | 5.076082   | 4.650517   |
| 69632 | 55.14939 | 8.620973   | 5.389197   | 4.941226   |
| 73728 | 62.04446 | 9.136154   | 5.705729   | 5.231902   |
| 77824 | 69.26138 | 9.648988   | 6.018754   | 5.522417   |
| 81920 | 76.60071 | 10.166807  | 6.331824   | 5.813216   |
